timestamp,spot_price,m5_up_ask,m5_up_bid,m5_down_ask,m5_down_bid,m5_up_volume,m5_down_volume,m15_up_ask,m15_up_bid,m15_down_ask,m15_down_bid,m15_up_volume,m15_down_volume,h1_up_ask,h1_up_bid,h1_down_ask,h1_down_bid,daily_up_ask,daily_up_bid,daily_down_ask,daily_down_bid
2026-02-14T16:46:32.681Z,69600.82,0.37,0.35,0.65,0.63,117.21,50.59,0.40,0.39,0.61,0.60,111.50,18.00,0.11,0.09,0.91,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:32.881Z,69600.83,0.37,0.35,0.65,0.63,0.00,21.54,0.40,0.39,0.61,0.60,0.00,0.00,0.11,0.09,0.91,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:33.185Z,69600.83,0.40,0.39,0.61,0.60,212.72,26.64,0.40,0.39,0.61,0.60,0.00,0.00,0.11,0.09,0.91,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:33.285Z,69600.83,0.40,0.37,0.63,0.60,19.50,0.00,0.40,0.39,0.61,0.60,0.00,0.00,0.11,0.09,0.91,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:33.386Z,69600.83,0.36,0.35,0.65,0.64,0.00,250.17,0.40,0.39,0.61,0.60,0.00,5.00,0.11,0.09,0.91,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:33.586Z,69600.82,0.36,0.35,0.65,0.64,15.00,30.56,0.40,0.39,0.61,0.60,0.00,0.00,0.10,0.09,0.91,0.90,1.00,1.00,0.00,0.00
2026-02-14T16:46:33.786Z,69600.82,0.36,0.34,0.66,0.64,33.78,0.00,0.40,0.39,0.61,0.60,0.00,0.00,0.10,0.09,0.91,0.90,1.00,1.00,0.00,0.00
2026-02-14T16:46:34.187Z,69600.82,0.36,0.34,0.66,0.64,5.00,8.67,0.40,0.39,0.61,0.60,0.00,0.00,0.11,0.09,0.91,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:34.496Z,69600.83,0.36,0.34,0.66,0.64,2.70,0.97,0.40,0.39,0.61,0.60,2.44,5.00,0.11,0.09,0.91,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:34.997Z,69600.83,0.36,0.33,0.67,0.64,37.49,149.10,0.40,0.39,0.61,0.60,0.00,0.00,0.11,0.09,0.91,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:35.198Z,69600.83,0.36,0.35,0.65,0.64,4.07,12.69,0.40,0.39,0.61,0.60,0.00,0.00,0.11,0.10,0.90,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:35.298Z,69600.82,0.36,0.35,0.65,0.64,0.00,0.00,0.40,0.39,0.61,0.60,8.20,0.00,0.11,0.10,0.90,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:36.324Z,69598.81,0.36,0.35,0.65,0.64,26.77,35.21,0.40,0.39,0.61,0.60,55.67,51.81,0.11,0.10,0.90,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:37.426Z,69598.80,0.36,0.35,0.65,0.64,25.39,19.91,0.40,0.39,0.61,0.60,7.50,72.20,0.11,0.10,0.90,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:37.526Z,69598.80,0.35,0.34,0.66,0.65,5.56,34.16,0.40,0.39,0.61,0.60,0.00,0.00,0.11,0.10,0.90,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:37.727Z,69596.71,0.35,0.34,0.66,0.65,0.00,0.00,0.40,0.39,0.61,0.60,0.00,40.59,0.11,0.10,0.90,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:38.226Z,69596.70,0.36,0.34,0.66,0.64,103.91,0.00,0.40,0.39,0.61,0.60,0.00,157.19,0.11,0.10,0.90,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:38.327Z,69596.70,0.35,0.34,0.66,0.65,0.00,0.00,0.40,0.39,0.61,0.60,0.00,14.55,0.11,0.10,0.90,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:39.330Z,69596.71,0.35,0.34,0.66,0.65,59.52,9.06,0.40,0.39,0.61,0.60,10.02,14.61,0.11,0.10,0.90,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:39.431Z,69596.71,0.33,0.32,0.68,0.67,5.00,0.00,0.40,0.39,0.61,0.60,0.00,1.75,0.11,0.10,0.90,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:40.131Z,69596.71,0.33,0.32,0.68,0.67,144.24,23.09,0.39,0.38,0.62,0.61,6.00,63.89,0.11,0.10,0.90,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:40.431Z,69595.75,0.33,0.32,0.68,0.67,0.00,0.00,0.39,0.38,0.62,0.61,0.00,0.00,0.11,0.10,0.90,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:41.835Z,69595.11,0.33,0.32,0.68,0.67,24.33,41.17,0.39,0.38,0.62,0.61,244.02,3.77,0.11,0.10,0.90,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:41.935Z,69595.11,0.33,0.32,0.68,0.67,0.00,0.00,0.38,0.37,0.63,0.62,0.00,147.00,0.11,0.10,0.90,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:42.135Z,69595.10,0.33,0.32,0.68,0.67,0.00,0.00,0.38,0.37,0.63,0.62,3.16,0.00,0.11,0.10,0.90,0.89,1.00,1.00,0.00,0.00
2026-02-14T16:46:42.236Z,69595.11,0.33,0.32,0.68,0.67,0.00,0.00,0.38,0.37,0.63,0.62,0.00,7.75,0.10,0.09,0.91,0.90,1.00,1.00,0.00,0.00
2026-02-14T16:46:43.038Z,69593.03,0.33,0.32,0.68,0.67,3.27,7.01,0.38,0.37,0.63,0.62,30.00,3.33,0.10,0.09,0.91,0.90,1.00,1.00,0.00,0.00
2026-02-14T16:46:43.138Z,69593.02,0.33,0.32,0.68,0.67,0.00,0.00,0.38,0.37,0.63,0.62,0.00,0.00,0.10,0.09,0.91,0.90,1.00,1.00,0.00,0.00
2026-02-14T16:46:44.140Z,69593.03,0.33,0.32,0.68,0.67,42.48,12.76,0.38,0.37,0.63,0.62,21.05,8.54,0.10,0.09,0.91,0.90,1.00,1.00,0.00,0.00
2026-02-14T16:46:44.341Z,69593.02,0.33,0.32,0.68,0.67,0.00,0.00,0.38,0.37,0.63,0.62,0.00,0.00,0.10,0.09,0.91,0.90,1.00,1.00,0.00,0.00
2026-02-14T16:46:45.441Z,69593.03,0.33,0.32,0.68,0.67,49.11,6.47,0.38,0.37,0.63,0.62,38.00,2.13,0.10,0.09,0.91,0.90,1.00,1.00,0.00,0.00
2026-02-14T16:46:45.855Z,69593.02,0.33,0.32,0.68,0.67,16.99,1.62,0.38,0.37,0.63,0.62,0.00,0.00,0.10,0.09,0.91,0.90,1.00,1.00,0.00,0.00
2026-02-14T16:46:47.159Z,69593.02,0.33,0.31,0.69,0.67,37.26,47.55,0.38,0.37,0.63,0.62,98.97,7.73,0.10,0.09,0.91,0.90,1.00,1.00,0.00,0.00
