timestamp,spot_price,m5_up_ask,m5_up_bid,m5_down_ask,m5_down_bid,m5_up_volume,m5_down_volume,m15_up_ask,m15_up_bid,m15_down_ask,m15_down_bid,m15_up_volume,m15_down_volume,h1_up_ask,h1_up_bid,h1_down_ask,h1_down_bid,daily_up_ask,daily_up_bid,daily_down_ask,daily_down_bid
2026-02-14T16:46:33.086Z,2079.57,,,,,,,0.49,0.48,0.52,0.51,9.22,6.47,0.05,0.04,0.96,0.95,1.00,0.99,0.01,0.00
2026-02-14T16:46:33.586Z,2079.57,,,,,,,0.49,0.48,0.52,0.51,0.00,0.00,0.04,0.04,0.96,0.95,1.00,0.99,0.01,0.00
2026-02-14T16:46:33.786Z,2079.58,,,,,,,0.49,0.48,0.52,0.51,0.00,0.00,0.05,0.04,0.96,0.95,1.00,0.99,0.01,0.00
2026-02-14T16:46:36.100Z,2079.56,,,,,,,0.49,0.48,0.52,0.51,12.24,8.17,0.04,0.04,0.96,0.95,1.00,0.99,0.01,0.00
2026-02-14T16:46:36.219Z,2079.56,,,,,,,0.49,0.48,0.52,0.51,0.00,0.00,0.05,0.04,0.96,0.95,1.00,0.99,0.01,0.00
2026-02-14T16:46:36.424Z,2079.56,,,,,,,0.48,0.47,0.53,0.52,0.00,0.00,0.04,0.04,0.96,0.95,1.00,0.99,0.01,0.00
2026-02-14T16:46:36.624Z,2079.56,,,,,,,0.48,0.47,0.53,0.52,0.00,0.00,0.05,0.04,0.96,0.95,1.00,0.99,0.01,0.00
2026-02-14T16:46:37.426Z,2079.55,,,,,,,0.48,0.47,0.53,0.52,2.08,0.00,0.04,0.03,0.97,0.96,1.00,0.99,0.01,0.00
2026-02-14T16:46:37.526Z,2079.35,,,,,,,0.48,0.47,0.53,0.52,0.00,0.00,0.04,0.03,0.97,0.96,1.00,0.99,0.01,0.00
2026-02-14T16:46:37.727Z,2079.32,,,,,,,0.48,0.47,0.53,0.52,0.00,0.00,0.04,0.03,0.97,0.96,1.00,0.99,0.01,0.00
2026-02-14T16:46:37.927Z,2079.24,,,,,,,0.48,0.47,0.53,0.52,0.00,0.00,0.04,0.03,0.97,0.96,1.00,0.99,0.01,0.00
2026-02-14T16:46:38.427Z,2079.24,,,,,,,0.46,0.45,0.55,0.54,0.00,80.00,0.04,0.03,0.97,0.96,1.00,0.99,0.01,0.00
2026-02-14T16:46:39.531Z,2079.16,,,,,,,0.46,0.45,0.55,0.54,85.85,0.00,0.04,0.03,0.97,0.96,1.00,0.99,0.01,0.00
2026-02-14T16:46:39.731Z,2079.10,,,,,,,0.46,0.45,0.55,0.54,0.00,7.00,0.04,0.03,0.97,0.96,1.00,0.99,0.01,0.00
2026-02-14T16:46:43.538Z,2079.09,,,,,,,0.46,0.45,0.55,0.54,7.00,5.02,0.04,0.03,0.97,0.96,1.00,0.99,0.01,0.00
2026-02-14T16:46:48.768Z,2079.05,,,,,,,0.46,0.45,0.55,0.54,10.87,9.16,0.04,0.03,0.97,0.96,1.00,0.99,0.01,0.00
2026-02-14T16:46:48.869Z,2079.02,,,,,,,0.46,0.45,0.55,0.54,0.00,0.00,0.04,0.03,0.97,0.96,1.00,0.99,0.01,0.00
