timestamp,spot_price,m15_buy,m15_sell,m15_spread_up,m15_spread_down,h1_buy,h1_sell,h1_spread_up,h1_spread_down,daily_buy,daily_sell,daily_spread_up,daily_spread_down
2025-11-03T00:21:21.084Z,188.20,0.08,0.92,0.13,0.13,0.65,0.35,0.05,0.05,0.77,0.23,0.05,0.05
2025-11-03T00:21:22.089Z,188.21,0.10,0.90,0.11,0.11,0.65,0.35,0.05,0.05,0.77,0.23,0.05,0.05
2025-11-03T00:21:23.091Z,188.21,0.10,0.90,0.11,0.11,0.65,0.35,0.05,0.05,0.77,0.23,0.05,0.05
2025-11-03T00:21:24.094Z,188.21,0.09,0.91,0.13,0.13,0.65,0.35,0.05,0.05,0.77,0.23,0.05,0.05
2025-11-03T00:21:25.096Z,188.20,0.11,0.89,0.11,0.11,0.66,0.34,0.07,0.07,0.77,0.23,0.03,0.03
2025-11-03T00:21:26.106Z,188.22,0.07,0.93,0.15,0.15,0.64,0.36,0.07,0.07,0.77,0.23,0.03,0.03
2025-11-03T00:21:27.110Z,188.22,0.07,0.93,0.15,0.15,0.64,0.36,0.07,0.07,0.77,0.23,0.03,0.03
2025-11-03T00:21:28.117Z,188.22,0.07,0.93,0.13,0.13,0.64,0.36,0.07,0.07,0.77,0.23,0.03,0.03
2025-11-03T00:21:29.125Z,188.22,0.07,0.93,0.13,0.13,0.64,0.36,0.06,0.06,0.77,0.23,0.03,0.03
2025-11-03T00:21:30.128Z,188.22,0.07,0.93,0.13,0.13,0.64,0.36,0.04,0.04,0.77,0.23,0.03,0.03
2025-11-03T00:21:31.134Z,188.22,0.07,0.93,0.13,0.13,0.66,0.34,0.05,0.05,0.77,0.23,0.03,0.03
2025-11-03T00:21:32.139Z,188.23,0.07,0.93,0.15,0.15,0.66,0.34,0.06,0.06,0.77,0.23,0.03,0.03
2025-11-03T00:21:33.153Z,188.23,0.09,0.91,0.13,0.13,0.66,0.34,0.06,0.06,0.77,0.23,0.03,0.03
2025-11-03T00:21:34.159Z,188.23,0.11,0.89,0.11,0.11,0.65,0.35,0.07,0.07,0.77,0.23,0.03,0.03
2025-11-03T00:21:35.173Z,188.23,0.11,0.89,0.11,0.11,0.66,0.34,0.06,0.06,0.77,0.23,0.03,0.03
2025-11-03T00:21:36.179Z,188.24,0.07,0.93,0.16,0.16,0.66,0.34,0.06,0.06,0.77,0.23,0.03,0.03
2025-11-03T00:21:37.187Z,188.24,0.07,0.93,0.16,0.16,0.66,0.34,0.06,0.06,0.77,0.23,0.03,0.03
2025-11-03T00:21:38.190Z,188.24,0.07,0.93,0.16,0.16,0.66,0.34,0.06,0.06,0.77,0.23,0.03,0.03
2025-11-03T00:21:39.197Z,188.24,0.07,0.93,0.16,0.16,0.66,0.34,0.05,0.05,0.77,0.23,0.03,0.03
2025-11-03T00:21:40.199Z,188.24,0.07,0.93,0.15,0.15,0.66,0.34,0.05,0.05,0.77,0.23,0.03,0.03
