timestamp,spot_price,m15_buy,m15_sell,m15_spread_up,m15_spread_down,h1_buy,h1_sell,h1_spread_up,h1_spread_down,daily_buy,daily_sell,daily_spread_up,daily_spread_down
2025-11-03T00:21:21.084Z,2.5221,0.03,0.97,0.13,0.13,0.28,0.72,0.05,0.05,0.59,0.41,0.02,0.02
2025-11-03T00:21:22.089Z,2.5221,0.03,0.97,0.13,0.13,0.28,0.72,0.05,0.05,0.59,0.41,0.02,0.02
2025-11-03T00:21:23.091Z,2.5221,0.03,0.97,0.16,0.16,0.31,0.69,0.02,0.02,0.59,0.41,0.02,0.02
2025-11-03T00:21:24.094Z,2.5220,0.03,0.97,0.12,0.12,0.28,0.72,0.05,0.05,0.59,0.41,0.02,0.02
2025-11-03T00:21:25.096Z,2.5220,0.03,0.97,0.12,0.12,0.28,0.72,0.04,0.04,0.59,0.41,0.02,0.02
2025-11-03T00:21:26.106Z,2.5221,0.03,0.97,0.12,0.12,0.29,0.71,0.04,0.04,0.59,0.41,0.02,0.02
2025-11-03T00:21:27.110Z,2.5221,0.03,0.97,0.12,0.12,0.29,0.71,0.04,0.04,0.59,0.41,0.02,0.02
2025-11-03T00:21:28.117Z,2.5221,0.03,0.97,0.12,0.12,0.29,0.71,0.04,0.04,0.59,0.41,0.02,0.02
2025-11-03T00:21:29.125Z,2.5220,0.03,0.97,0.12,0.12,0.28,0.72,0.04,0.04,0.59,0.41,0.02,0.02
2025-11-03T00:21:30.128Z,2.5221,0.03,0.97,0.12,0.12,0.28,0.72,0.04,0.04,0.59,0.41,0.02,0.02
2025-11-03T00:21:31.134Z,2.5221,0.03,0.97,0.12,0.12,0.28,0.72,0.04,0.04,0.59,0.41,0.02,0.02
2025-11-03T00:21:32.139Z,2.5220,0.03,0.97,0.12,0.12,0.28,0.72,0.04,0.04,0.59,0.41,0.02,0.02
2025-11-03T00:21:33.153Z,2.5220,0.03,0.97,0.12,0.12,0.28,0.72,0.04,0.04,0.59,0.41,0.02,0.02
2025-11-03T00:21:34.159Z,2.5220,0.03,0.97,0.12,0.12,0.28,0.72,0.04,0.04,0.59,0.41,0.02,0.02
2025-11-03T00:21:35.173Z,2.5220,0.03,0.97,0.12,0.12,0.28,0.72,0.04,0.04,0.59,0.41,0.02,0.02
2025-11-03T00:21:36.179Z,2.5221,0.03,0.97,0.12,0.12,0.29,0.71,0.04,0.04,0.59,0.41,0.02,0.02
2025-11-03T00:21:37.187Z,2.5222,0.03,0.97,0.12,0.12,0.29,0.71,0.04,0.04,0.59,0.41,0.02,0.02
2025-11-03T00:21:38.190Z,2.5221,0.03,0.97,0.12,0.12,0.28,0.72,0.05,0.05,0.59,0.41,0.02,0.02
2025-11-03T00:21:39.197Z,2.5221,0.03,0.97,0.12,0.12,0.28,0.72,0.05,0.05,0.59,0.41,0.02,0.02
2025-11-03T00:21:40.199Z,2.5222,0.03,0.97,0.12,0.12,0.28,0.72,0.05,0.05,0.59,0.41,0.02,0.02
2025-11-03T00:21:41.203Z,2.5222,0.03,0.97,0.12,0.12,0.28,0.72,0.05,0.05,0.59,0.41,0.02,0.02
2025-11-03T00:21:42.208Z,2.5218,0.03,0.97,0.17,0.17,0.28,0.72,0.03,0.03,0.59,0.41,0.02,0.02
2025-11-03T00:21:43.211Z,2.5218,0.03,0.97,0.11,0.11,0.28,0.72,0.03,0.03,0.59,0.41,0.02,0.02
2025-11-03T00:21:44.215Z,2.5218,0.03,0.97,0.11,0.11,0.28,0.72,0.03,0.03,0.59,0.41,0.02,0.02
