asset,market_key,market_title,tf_slug,side,signal_ts,signed_open_pct,signed_move_30s_pct,ask_c,rule_key,entry_j,entry_ts,entry_price,size_usd,shares,exit_j,exit_ts,exit_price,exit_reason,won_up,won_side,pnl,return_pct
btc,btc:h1:1775340000,"Bitcoin Up or Down - April 4, 6PM ET",h1,UP,2026-04-04T22:17:10.535000+00:00,0.0856304706706842,0.0173547191771908,67.0,btc|h1|Up,4006,2026-04-04 22:17:10.535,0.67,12.870000000000001,19.208955223880597,4146.0,2026-04-04 22:17:45.970,0.61,stop_loss,True,True,-1.1525373134328376,-8.955223880597028
btc,btc:h1:1775372400,"Bitcoin Up or Down - April 5, 3AM ET",h1,DOWN,2026-04-05T07:33:28.978000+00:00,0.0834852244475695,0.0294301508452463,64.0,btc|h1|Down,5872,2026-04-05 07:33:28.978,0.64,14.075,21.9921875,6048.0,2026-04-05 07:34:31.194,0.58,stop_loss,True,False,-1.3195312500000007,-9.375000000000005
btc,btc:h1:1775545200,"Bitcoin Up or Down - April 7, 3AM ET",h1,UP,2026-04-07T07:25:10.704000+00:00,0.0808827979672718,0.0525461091013548,66.0,btc|h1|Up,4577,2026-04-07 07:25:10.704,0.66,12.870000000000001,19.5,4824.0,2026-04-07 07:26:45.169,0.6,stop_loss,True,True,-1.1700000000000017,-9.090909090909104
btc,btc:h1:1775545200,"Bitcoin Up or Down - April 7, 3AM ET",h1,DOWN,2026-04-07T07:22:19.444000+00:00,0.0759242420154666,0.0520356695180904,63.0,btc|h1|Down,4002,2026-04-07 07:22:19.444,0.63,14.075,22.34126984126984,4070.0,2026-04-07 07:22:40.615,0.57,stop_loss,True,False,-1.340476190476192,-9.523809523809534
btc,btc:h1:1775548800,"Bitcoin Up or Down - April 7, 4AM ET",h1,UP,2026-04-07T08:17:39.560000+00:00,0.0964085624676096,-0.0177924508423317,67.0,btc|h1|Up,3698,2026-04-07 08:17:39.560,0.67,12.870000000000001,19.208955223880597,3761.0,2026-04-07 08:18:04.660,0.61,stop_loss,True,True,-1.1525373134328376,-8.955223880597028
btc,btc:h1:1775559600,"Bitcoin Up or Down - April 7, 7AM ET",h1,UP,2026-04-07T11:12:11.300000+00:00,0.1128551232430545,0.0336909399215439,66.0,btc|h1|Up,3158,2026-04-07 11:12:11.300,0.66,12.870000000000001,19.5,3602.0,2026-04-07 11:14:35.421,0.6,stop_loss,True,True,-1.1700000000000017,-9.090909090909104
btc,btc:h1:1775563200,"Bitcoin Up or Down - April 7, 8AM ET",h1,UP,2026-04-07T12:22:40.060000+00:00,0.084496853790741,0.0387002906106681,56.99999999999999,btc|h1|Up,5525,2026-04-07 12:22:40.060,0.57,12.870000000000001,22.578947368421055,7424.0,2026-04-07 12:33:07.327,0.51,stop_loss,True,True,-1.3547368421052628,-10.526315789473681
btc,btc:h1:1775563200,"Bitcoin Up or Down - April 7, 8AM ET",h1,DOWN,2026-04-07T12:20:48.131000+00:00,0.0771957403636412,0.0275657268470735,60.0,btc|h1|Down,5065,2026-04-07 12:20:48.131,0.6,14.075,23.458333333333332,5131.0,2026-04-07 12:21:06.109,0.54,stop_loss,True,False,-1.4074999999999989,-9.999999999999993
btc,btc:h1:1775566800,"Bitcoin Up or Down - April 7, 9AM ET",h1,UP,2026-04-07T13:11:44.711000+00:00,0.2445747452413479,-0.0188764271002964,65.0,btc|h1|Up,2057,2026-04-07 13:11:44.711,0.65,12.870000000000001,19.8,2511.0,2026-04-07 13:14:13.084,0.57,stop_loss,False,False,-1.5840000000000014,-12.307692307692317
btc,btc:h1:1775566800,"Bitcoin Up or Down - April 7, 9AM ET",h1,DOWN,2026-04-07T13:44:37.419000+00:00,0.1113723820471847,0.0496986643794732,67.0,btc|h1|Down,10386,2026-04-07 13:44:37.419,0.67,14.075,21.007462686567163,10435.0,2026-04-07 13:44:48.707,0.61,stop_loss,False,True,-1.2604477611940297,-8.955223880597014
