asset,market_key,market_title,tf_slug,ce_ts,bot_pnl,bot_spent,candidate_pnl,candidate_spent,candidate_trade_count,delta_pnl
btc,btc:h1:1775322000,"Bitcoin Up or Down - April 4, 1PM ET",h1,2026-04-04T18:00:00+00:00,-186.1,4029.19,0.0,0.0,0,186.1
btc,btc:m15:1775326500,"Bitcoin Up or Down - April 4, 2:15PM-2:30PM ET",m15,2026-04-04T18:30:00+00:00,25.52,2152.31,0.0,0.0,0,-25.52
btc,btc:m5:1775327400,"Bitcoin Up or Down - April 4, 2:30PM-2:35PM ET",m5,2026-04-04T18:35:00+00:00,-44.22,182.72,-23.925,23.925,1,20.294999999999998
btc,btc:m5:1775327700,"Bitcoin Up or Down - April 4, 2:35PM-2:40PM ET",m5,2026-04-04T18:40:00+00:00,74.8,614.04,0.0,0.0,0,-74.8
btc,btc:m5:1775328000,"Bitcoin Up or Down - April 4, 2:40PM-2:45PM ET",m5,2026-04-04T18:45:00+00:00,110.2,693.8,0.0,0.0,0,-110.2
btc,btc:m15:1775327400,"Bitcoin Up or Down - April 4, 2:30PM-2:45PM ET",m15,2026-04-04T18:45:00+00:00,39.21,1542.47,0.0,0.0,0,-39.21
btc,btc:m5:1775328300,"Bitcoin Up or Down - April 4, 2:45PM-2:50PM ET",m5,2026-04-04T18:50:00+00:00,161.4,984.38,0.0,0.0,0,-161.4
btc,btc:m5:1775328600,"Bitcoin Up or Down - April 4, 2:50PM-2:55PM ET",m5,2026-04-04T18:55:00+00:00,33.97,548.46,0.0,0.0,0,-33.97
btc,btc:h1:1775325600,"Bitcoin Up or Down - April 4, 2PM ET",h1,2026-04-04T19:00:00+00:00,-207.71,3779.99,0.0,0.0,0,207.71
btc,btc:m5:1775328900,"Bitcoin Up or Down - April 4, 2:55PM-3:00PM ET",m5,2026-04-04T19:00:00+00:00,-29.83,486.25,-23.925,23.925,1,5.904999999999998
btc,btc:m15:1775328300,"Bitcoin Up or Down - April 4, 2:45PM-3:00PM ET",m15,2026-04-04T19:00:00+00:00,91.77,2310.58,0.0,0.0,0,-91.77
btc,btc:m5:1775329200,"Bitcoin Up or Down - April 4, 3:00PM-3:05PM ET",m5,2026-04-04T19:05:00+00:00,2.08,34.65,0.0,0.0,0,-2.08
btc,btc:m5:1775329500,"Bitcoin Up or Down - April 4, 3:05PM-3:10PM ET",m5,2026-04-04T19:10:00+00:00,5.88,829.48,0.0,0.0,0,-5.88
btc,btc:m15:1775329200,"Bitcoin Up or Down - April 4, 3:00PM-3:15PM ET",m15,2026-04-04T19:15:00+00:00,116.45,1074.18,0.0,0.0,0,-116.45
btc,btc:m5:1775329800,"Bitcoin Up or Down - April 4, 3:10PM-3:15PM ET",m5,2026-04-04T19:15:00+00:00,112.77,1456.55,15.95,23.925,1,-96.82
btc,btc:m5:1775330100,"Bitcoin Up or Down - April 4, 3:15PM-3:20PM ET",m5,2026-04-04T19:20:00+00:00,-69.15,459.52,-23.925,23.925,1,45.22500000000001
btc,btc:m5:1775330400,"Bitcoin Up or Down - April 4, 3:20PM-3:25PM ET",m5,2026-04-04T19:25:00+00:00,20.48,238.68,-23.925,23.925,1,-44.405
btc,btc:m15:1775330100,"Bitcoin Up or Down - April 4, 3:15PM-3:30PM ET",m15,2026-04-04T19:30:00+00:00,-57.09,948.88,0.0,0.0,0,57.09
btc,btc:m5:1775330700,"Bitcoin Up or Down - April 4, 3:25PM-3:30PM ET",m5,2026-04-04T19:30:00+00:00,11.39,523.11,-23.925,23.925,1,-35.315
