asset,market_key,market_title,tf_slug,ce_ts,bot_pnl,bot_spent,candidate_pnl,candidate_spent,candidate_trade_count,delta_pnl
eth,eth:h1:1775322000,"Ethereum Up or Down - April 4, 1PM ET",h1,2026-04-04T18:00:00+00:00,87.11,1529.71,4.52641791044776,9.19,1,-82.58358208955224
eth,eth:m15:1775326500,"Ethereum Up or Down - April 4, 2:15PM-2:30PM ET",m15,2026-04-04T18:30:00+00:00,-14.73,246.43,0.0,0.0,0,14.73
eth,eth:m5:1775327400,"Ethereum Up or Down - April 4, 2:30PM-2:35PM ET",m5,2026-04-04T18:35:00+00:00,-13.6,129.68,0.0,0.0,0,13.6
eth,eth:m5:1775327700,"Ethereum Up or Down - April 4, 2:35PM-2:40PM ET",m5,2026-04-04T18:40:00+00:00,27.63,232.85,0.0,0.0,0,-27.63
eth,eth:m5:1775328000,"Ethereum Up or Down - April 4, 2:40PM-2:45PM ET",m5,2026-04-04T18:45:00+00:00,-14.88,178.15,0.0,0.0,0,14.88
eth,eth:m15:1775327400,"Ethereum Up or Down - April 4, 2:30PM-2:45PM ET",m15,2026-04-04T18:45:00+00:00,-10.48,135.54,0.0,0.0,0,10.48
eth,eth:m5:1775328300,"Ethereum Up or Down - April 4, 2:45PM-2:50PM ET",m5,2026-04-04T18:50:00+00:00,55.66,351.84,0.0,0.0,0,-55.66
eth,eth:m5:1775328600,"Ethereum Up or Down - April 4, 2:50PM-2:55PM ET",m5,2026-04-04T18:55:00+00:00,91.81,282.31,0.0,0.0,0,-91.81
eth,eth:h1:1775325600,"Ethereum Up or Down - April 4, 2PM ET",h1,2026-04-04T19:00:00+00:00,-139.71,1960.66,0.0,0.0,0,139.71
eth,eth:m5:1775328900,"Ethereum Up or Down - April 4, 2:55PM-3:00PM ET",m5,2026-04-04T19:00:00+00:00,-0.43,117.76,0.0,0.0,0,0.43
eth,eth:m15:1775328300,"Ethereum Up or Down - April 4, 2:45PM-3:00PM ET",m15,2026-04-04T19:00:00+00:00,75.45,746.84,0.0,0.0,0,-75.45
eth,eth:m5:1775329200,"Ethereum Up or Down - April 4, 3:00PM-3:05PM ET",m5,2026-04-04T19:05:00+00:00,25.14,133.25,0.0,0.0,0,-25.14
eth,eth:m5:1775329500,"Ethereum Up or Down - April 4, 3:05PM-3:10PM ET",m5,2026-04-04T19:10:00+00:00,41.41,667.92,0.0,0.0,0,-41.41
eth,eth:m15:1775329200,"Ethereum Up or Down - April 4, 3:00PM-3:15PM ET",m15,2026-04-04T19:15:00+00:00,-25.11,446.37,0.0,0.0,0,25.11
eth,eth:m5:1775329800,"Ethereum Up or Down - April 4, 3:10PM-3:15PM ET",m5,2026-04-04T19:15:00+00:00,99.43,732.93,1.3504615384615386,6.27,1,-98.07953846153846
eth,eth:m5:1775330100,"Ethereum Up or Down - April 4, 3:15PM-3:20PM ET",m5,2026-04-04T19:20:00+00:00,-90.06,631.38,0.0,0.0,0,90.06
eth,eth:m5:1775330400,"Ethereum Up or Down - April 4, 3:20PM-3:25PM ET",m5,2026-04-04T19:25:00+00:00,18.68,302.41,0.0,0.0,0,-18.68
eth,eth:m15:1775330100,"Ethereum Up or Down - April 4, 3:15PM-3:30PM ET",m15,2026-04-04T19:30:00+00:00,-99.17,794.94,0.0,0.0,0,99.17
