folder,tf,event_id,side,n_fills,event_start,event_end,min_price,max_price,avg_price,next_event_start,event_gap_s
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,1,Up,16,2026-04-10 19:00:13+00:00,2026-04-10 19:00:17+00:00,34.0,42.0,37.125,2026-04-10 19:00:29+00:00,12.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,2,Down,3,2026-04-10 19:00:29+00:00,2026-04-10 19:00:29+00:00,66.0,66.0,66.0,2026-04-10 19:00:39+00:00,10.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,3,Down,9,2026-04-10 19:00:39+00:00,2026-04-10 19:00:43+00:00,69.0,69.0,69.0,2026-04-10 19:00:59+00:00,16.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,4,Down,1,2026-04-10 19:00:59+00:00,2026-04-10 19:00:59+00:00,65.0,65.0,65.0,2026-04-10 19:01:01+00:00,2.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,5,Up,29,2026-04-10 19:01:01+00:00,2026-04-10 19:01:09+00:00,28.0,33.0,30.413793103448278,2026-04-10 19:01:15+00:00,6.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,6,Down,2,2026-04-10 19:01:15+00:00,2026-04-10 19:01:15+00:00,70.0,70.0,70.0,2026-04-10 19:01:27+00:00,12.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,7,Down,2,2026-04-10 19:01:27+00:00,2026-04-10 19:01:27+00:00,53.0,53.0,53.0,2026-04-10 19:01:29+00:00,2.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,8,Up,1,2026-04-10 19:01:29+00:00,2026-04-10 19:01:29+00:00,46.0,46.0,46.0,2026-04-10 19:01:33+00:00,4.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,9,Up,1,2026-04-10 19:01:33+00:00,2026-04-10 19:01:33+00:00,47.0,47.0,47.0,2026-04-10 19:01:45+00:00,12.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,10,Down,19,2026-04-10 19:01:45+00:00,2026-04-10 19:01:47+00:00,43.0,43.0,43.0,2026-04-10 19:01:51+00:00,4.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,11,Up,7,2026-04-10 19:01:51+00:00,2026-04-10 19:01:53+00:00,50.0,50.0,50.0,2026-04-10 19:02:01+00:00,8.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,12,Up,1,2026-04-10 19:02:01+00:00,2026-04-10 19:02:01+00:00,41.0,41.0,41.0,2026-04-10 19:02:09+00:00,8.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,13,Down,1,2026-04-10 19:02:09+00:00,2026-04-10 19:02:09+00:00,60.0,60.0,60.0,2026-04-10 19:02:25+00:00,16.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,14,Up,11,2026-04-10 19:02:25+00:00,2026-04-10 19:02:27+00:00,14.0,14.0,14.0,2026-04-10 19:03:03+00:00,36.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,15,Up,1,2026-04-10 19:03:03+00:00,2026-04-10 19:03:03+00:00,8.0,8.0,8.0,2026-04-10 19:03:09+00:00,6.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,16,Down,13,2026-04-10 19:03:09+00:00,2026-04-10 19:03:15+00:00,87.0,92.0,90.76923076923077,2026-04-10 19:03:21+00:00,6.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,17,Up,1,2026-04-10 19:03:21+00:00,2026-04-10 19:03:21+00:00,10.0,10.0,10.0,2026-04-10 19:03:25+00:00,4.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,18,Down,3,2026-04-10 19:03:25+00:00,2026-04-10 19:03:25+00:00,85.0,85.0,85.0,2026-04-10 19:03:29+00:00,4.0
Bitcoin_Up_or_Down_-_April_10_100PM-105PM_ET,m5,19,Up,8,2026-04-10 19:03:29+00:00,2026-04-10 19:03:29+00:00,12.0,12.0,12.0,2026-04-10 19:03:33+00:00,4.0
