tf,side,folder,fill_price,ask_at_fill,ask_1s,ask_2s,delta_fill_vs_ask,ask_drop_2s,spot
h1,Up,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.46,0.47,0.47,0.47,-0.009999999999999953,0.0,71135.0
h1,Up,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.47,0.47,0.47,0.47,0.0,0.0,71135.01
h1,Up,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.47,0.47,0.47,0.47,0.0,0.0,71138.11
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.55,0.54,0.54,0.54,0.010000000000000009,0.0,71145.75
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.59,0.54,0.54,0.54,0.04999999999999993,0.0,71145.76
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.56,0.54,0.54,0.54,0.020000000000000018,0.0,71145.76
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.59,0.51,0.51,0.51,0.07999999999999996,0.0,71145.77
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.58,0.51,0.51,0.51,0.06999999999999995,0.0,71145.78
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.62,0.51,0.51,0.51,0.10999999999999999,0.0,71148.71
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.63,0.51,0.51,0.51,0.12,0.0,71148.71
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.62,0.51,0.51,0.51,0.10999999999999999,0.0,71148.71
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.62,0.51,0.51,0.51,0.10999999999999999,0.0,71148.71
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.61,0.51,0.51,0.51,0.09999999999999998,0.0,71148.72
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.61,0.51,0.51,0.51,0.09999999999999998,0.0,71152.56
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.64,0.51,0.51,0.51,0.13,0.0,71152.56
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.63,0.51,0.51,0.51,0.12,0.0,71152.57
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.64,0.51,0.51,0.51,0.13,0.0,71152.57
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.63,0.51,0.51,0.51,0.12,0.0,71152.56
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.65,0.51,0.51,0.51,0.14,0.0,71152.57
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.66,0.51,0.51,0.51,0.15000000000000002,0.0,71152.56
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.66,0.51,0.51,0.51,0.15000000000000002,0.0,71152.57
h1,Up,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.38,0.5,0.5,0.5,-0.12,0.0,71152.57
h1,Up,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.38,0.5,0.5,0.5,-0.12,0.0,71152.56
h1,Up,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.4696,0.5,0.5,0.5,-0.030399999999999983,0.0,71152.56
h1,Up,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.46,0.5,0.5,0.5,-0.03999999999999998,0.0,71152.56
h1,Up,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.47,0.5,0.5,0.5,-0.030000000000000027,0.0,71152.57
h1,Up,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.46,0.5,0.5,0.5,-0.03999999999999998,0.0,71152.56
h1,Up,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.47,0.5,0.5,0.5,-0.030000000000000027,0.0,71152.57
h1,Up,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.47,0.5,0.5,0.5,-0.030000000000000027,0.0,71152.57
h1,Up,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.47,0.5,0.5,0.5,-0.030000000000000027,0.0,71152.57
h1,Up,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.49,0.5,0.5,0.5,-0.010000000000000009,0.0,71152.56
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.5281,0.48,0.49,0.51,0.04810000000000003,0.030000000000000027,71174.33
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.53,0.48,0.49,0.51,0.050000000000000044,0.030000000000000027,71174.33
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.54,0.48,0.48,0.48,0.06000000000000005,0.0,71174.33
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.52,0.45,0.45,0.45,0.07,0.0,71174.32
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.55,0.45,0.45,0.45,0.10000000000000003,0.0,71174.32
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.56,0.45,0.45,0.45,0.11000000000000004,0.0,71174.32
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.56,0.45,0.45,0.45,0.11000000000000004,0.0,71174.33
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.5778,0.45,0.45,0.45,0.12779999999999997,0.0,71174.33
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.62,0.45,0.45,0.45,0.16999999999999998,0.0,71160.08
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.61,0.44,0.44,0.44,0.16999999999999998,0.0,71160.09
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.66,0.42,0.42,0.42,0.24000000000000005,0.0,71168.0
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.63,0.41,0.41,0.41,0.22000000000000003,0.0,71167.99
h1,Up,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.48,0.55,0.55,0.55,-0.07000000000000006,0.0,71150.3
h1,Up,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.49,0.56,0.55,0.55,-0.07000000000000006,-0.010000000000000009,71150.3
h1,Up,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.49,0.56,0.55,0.55,-0.07000000000000006,-0.010000000000000009,71150.3
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.54,0.41,0.41,0.41,0.13000000000000006,0.0,71180.28
h1,Down,Bitcoin_Up_or_Down_-_April_12_2PM_ET,0.54,0.38,0.38,0.38,0.16000000000000003,0.0,71187.83
