tf,fill_price,ask_at_fill,ask_1s_before,delta_fill_vs_ask,ask_drop_1s
h1,0.68,0.69,0.69,-0.009999999999999898,0.0
h1,0.68,0.69,0.69,-0.009999999999999898,0.0
h1,0.67,0.69,0.69,-0.019999999999999907,0.0
h1,0.66,0.67,0.67,-0.010000000000000009,0.0
h1,0.66,0.67,0.67,-0.010000000000000009,0.0
h1,0.66,0.67,0.67,-0.010000000000000009,0.0
h1,0.68,0.69,0.69,-0.009999999999999898,0.0
h1,0.68,0.69,0.69,-0.009999999999999898,0.0
h1,0.68,0.7,0.7,-0.019999999999999907,0.0
h1,0.71,0.72,0.72,-0.010000000000000009,0.0
h1,0.63,0.64,0.64,-0.010000000000000009,0.0
h1,0.63,0.64,0.64,-0.010000000000000009,0.0
h1,0.33,0.34,0.34,-0.010000000000000009,0.0
h1,0.34,0.42,0.42,-0.07999999999999996,0.0
h1,0.42340000000000005,0.42,0.42,0.0034000000000000696,0.0
h1,0.41,0.42,0.42,-0.010000000000000009,0.0
h1,0.41,0.42,0.42,-0.010000000000000009,0.0
h1,0.44,0.45,0.45,-0.010000000000000009,0.0
h1,0.44,0.43,0.44,0.010000000000000009,0.010000000000000009
h1,0.44,0.44,0.44,0.0,0.0
h1,0.43,0.45,0.44,-0.020000000000000018,-0.010000000000000009
h1,0.48,0.5,0.49,-0.020000000000000018,-0.010000000000000009
h1,0.49,0.51,0.51,-0.020000000000000018,0.0
h1,0.61,0.64,0.64,-0.030000000000000027,0.0
h1,0.6,0.63,0.63,-0.030000000000000027,0.0
h1,0.6,0.63,0.63,-0.030000000000000027,0.0
h1,0.37,0.38,0.38,-0.010000000000000009,0.0
h1,0.37,0.38,0.38,-0.010000000000000009,0.0
h1,0.6,0.63,0.63,-0.030000000000000027,0.0
h1,0.37,0.41,0.41,-0.03999999999999998,0.0
h1,0.37,0.41,0.41,-0.03999999999999998,0.0
h1,0.37,0.41,0.41,-0.03999999999999998,0.0
h1,0.37,0.41,0.41,-0.03999999999999998,0.0
h1,0.37,0.41,0.41,-0.03999999999999998,0.0
h1,0.37,0.41,0.41,-0.03999999999999998,0.0
h1,0.37,0.41,0.41,-0.03999999999999998,0.0
h1,0.37,0.43,0.42,-0.06,-0.010000000000000009
h1,0.59,0.58,0.59,0.010000000000000009,0.010000000000000009
h1,0.59,0.58,0.59,0.010000000000000009,0.010000000000000009
h1,0.59,0.58,0.59,0.010000000000000009,0.010000000000000009
h1,0.59,0.58,0.59,0.010000000000000009,0.010000000000000009
h1,0.59,0.58,0.59,0.010000000000000009,0.010000000000000009
h1,0.59,0.58,0.59,0.010000000000000009,0.010000000000000009
h1,0.37,0.43,0.42,-0.06,-0.010000000000000009
h1,0.59,0.58,0.59,0.010000000000000009,0.010000000000000009
h1,0.59,0.57,0.57,0.020000000000000018,0.0
h1,0.59,0.57,0.57,0.020000000000000018,0.0
h1,0.59,0.57,0.57,0.020000000000000018,0.0
h1,0.59,0.57,0.57,0.020000000000000018,0.0
h1,0.59,0.57,0.57,0.020000000000000018,0.0
h1,0.59,0.57,0.57,0.020000000000000018,0.0
h1,0.59,0.57,0.57,0.020000000000000018,0.0
h1,0.59,0.57,0.57,0.020000000000000018,0.0
h1,0.59,0.57,0.57,0.020000000000000018,0.0
h1,0.59,0.57,0.57,0.020000000000000018,0.0
h1,0.59,0.57,0.57,0.020000000000000018,0.0
h1,0.59,0.57,0.57,0.020000000000000018,0.0
h1,0.56,0.59,0.58,-0.029999999999999916,-0.010000000000000009
h1,0.58,0.62,0.59,-0.040000000000000036,-0.030000000000000027
h1,0.35,0.35,0.35,0.0,0.0
h1,0.35,0.35,0.35,0.0,0.0
h1,0.35,0.38,0.38,-0.030000000000000027,0.0
h1,0.35,0.36,0.36,-0.010000000000000009,0.0
h1,0.35,0.36,0.36,-0.010000000000000009,0.0
h1,0.34,0.35,0.35,-0.009999999999999953,0.0
h1,0.33,0.33,0.33,0.0,0.0
h1,0.32,0.32,0.32,0.0,0.0
h1,0.32,0.32,0.32,0.0,0.0
h1,0.32,0.32,0.32,0.0,0.0
h1,0.32,0.32,0.32,0.0,0.0
h1,0.32,0.32,0.32,0.0,0.0
h1,0.32,0.32,0.32,0.0,0.0
h1,0.32,0.32,0.32,0.0,0.0
h1,0.32,0.32,0.32,0.0,0.0
h1,0.32,0.32,0.32,0.0,0.0
h1,0.32,0.32,0.32,0.0,0.0
h1,0.69,0.7,0.69,-0.010000000000000009,-0.010000000000000009
h1,0.69,0.72,0.72,-0.030000000000000027,0.0
h1,0.69,0.72,0.72,-0.030000000000000027,0.0
h1,0.32,0.32,0.32,0.0,0.0
h1,0.32,0.32,0.32,0.0,0.0
h1,0.32,0.32,0.32,0.0,0.0
h1,0.53,0.56,0.55,-0.030000000000000027,-0.010000000000000009
h1,0.53,0.56,0.55,-0.030000000000000027,-0.010000000000000009
h1,0.52,0.53,0.53,-0.010000000000000009,0.0
h1,0.45,0.48,0.48,-0.02999999999999997,0.0
h1,0.52,0.53,0.53,-0.010000000000000009,0.0
h1,0.45,0.48,0.48,-0.02999999999999997,0.0
h1,0.52,0.53,0.53,-0.010000000000000009,0.0
h1,0.52,0.53,0.53,-0.010000000000000009,0.0
h1,0.52,0.53,0.53,-0.010000000000000009,0.0
h1,0.5,0.51,0.51,-0.010000000000000009,0.0
h1,0.5,0.51,0.51,-0.010000000000000009,0.0
h1,0.5,0.51,0.51,-0.010000000000000009,0.0
h1,0.5,0.51,0.51,-0.010000000000000009,0.0
h1,0.5,0.51,0.51,-0.010000000000000009,0.0
h1,0.5,0.51,0.51,-0.010000000000000009,0.0
h1,0.5,0.51,0.51,-0.010000000000000009,0.0
h1,0.5,0.51,0.51,-0.010000000000000009,0.0
h1,0.5,0.52,0.51,-0.020000000000000018,-0.010000000000000009
h1,0.49,0.52,0.52,-0.030000000000000027,0.0
h1,0.49,0.52,0.52,-0.030000000000000027,0.0
h1,0.51,0.52,0.52,-0.010000000000000009,0.0
h1,0.51,0.48,0.48,0.030000000000000027,0.0
h1,0.47,0.46,0.46,0.009999999999999953,0.0
h1,0.47,0.46,0.46,0.009999999999999953,0.0
h1,0.47,0.46,0.46,0.009999999999999953,0.0
h1,0.47,0.46,0.46,0.009999999999999953,0.0
h1,0.47,0.46,0.46,0.009999999999999953,0.0
h1,0.47,0.46,0.46,0.009999999999999953,0.0
h1,0.47,0.46,0.46,0.009999999999999953,0.0
h1,0.47,0.46,0.46,0.009999999999999953,0.0
h1,0.47,0.46,0.46,0.009999999999999953,0.0
h1,0.47,0.46,0.46,0.009999999999999953,0.0
h1,0.46,0.45,0.45,0.010000000000000009,0.0
h1,0.46,0.45,0.45,0.010000000000000009,0.0
h1,0.46,0.45,0.45,0.010000000000000009,0.0
h1,0.45,0.45,0.45,0.0,0.0
h1,0.46,0.45,0.45,0.010000000000000009,0.0
h1,0.45,0.45,0.45,0.0,0.0
h1,0.45,0.45,0.45,0.0,0.0
h1,0.45,0.45,0.45,0.0,0.0
h1,0.45,0.45,0.45,0.0,0.0
h1,0.45,0.44,0.44,0.010000000000000009,0.0
h1,0.45,0.44,0.44,0.010000000000000009,0.0
h1,0.45,0.44,0.44,0.010000000000000009,0.0
h1,0.44,0.44,0.44,0.0,0.0
h1,0.44,0.44,0.44,0.0,0.0
h1,0.44,0.44,0.44,0.0,0.0
h1,0.44,0.44,0.44,0.0,0.0
h1,0.44,0.44,0.44,0.0,0.0
h1,0.44,0.44,0.44,0.0,0.0
h1,0.44,0.44,0.44,0.0,0.0
h1,0.44,0.44,0.44,0.0,0.0
h1,0.44,0.44,0.44,0.0,0.0
h1,0.44,0.44,0.44,0.0,0.0
h1,0.44,0.44,0.44,0.0,0.0
h1,0.44,0.44,0.44,0.0,0.0
h1,0.43,0.44,0.44,-0.010000000000000009,0.0
h1,0.4487,0.45,0.44,-0.0013000000000000234,-0.010000000000000009
h1,0.44,0.45,0.45,-0.010000000000000009,0.0
h1,0.44,0.46,0.48,-0.020000000000000018,0.019999999999999962
h1,0.44,0.46,0.48,-0.020000000000000018,0.019999999999999962
h1,0.53,0.56,0.56,-0.030000000000000027,0.0
h1,0.44,0.48,0.45,-0.03999999999999998,-0.02999999999999997
